FeatureID	Covariate	Log2(FC)	SE	W	pvalue	qvalue	Signif
SCGC-AG-212-J23	condition[T.pre-drought]	-0.1458701779189937	0.28139669555448543	-0.5183791431223456	0.604193763791768	1.0	False
SCUD01	Intercept	0.0705234804347068	0.2571281800832999	0.2742736343090043	0.7838743446546181	1.0	False
SCUD01	condition[T.pre-drought]	-0.2822996884194932	0.2905829127542407	-0.9714944548657857	0.3313021131125192	1.0	False
SG8-41	Intercept	1.9622958153793855	0.47937370965528453	4.093457308683998	4.249883541469597e-05	0.002677426631125846	True
SG8-41	condition[T.pre-drought]	0.563455169706979	0.7230217862148542	0.7793059357958846	0.4357995189149635	1.0	False
SHXO01	Intercept	0.2618154599128726	0.2769373544449064	0.9453959738932866	0.3444567568883883	1.0	False
SHXO01	condition[T.pre-drought]	0.267884962391643	0.45310716511740284	0.5912176699351739	0.5543745848146993	1.0	False
Saccharopolyspora_C	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
Saccharopolyspora_C	condition[T.pre-drought]	0.1443700952279547	0.23579534901965155	0.6122686296748061	0.5403600413100883	1.0	False
Sphingobacterium	Intercept	-0.16892040054338153	0.13227543258291247	-1.2770353288204095	0.20158977483066587	1.0	False
Sphingobacterium	condition[T.pre-drought]	0.08994062007028165	0.21209985606463472	0.424048472917744	0.6715304626802925	1.0	False
Stenotrophomonas	Intercept	-0.16892040054338153	0.13227543258291252	-1.277035328820409	0.2015897748306661	1.0	False
Stenotrophomonas	condition[T.pre-drought]	0.13444415890690714	0.23506757518485935	0.5719383407140648	0.567363747984152	1.0	False
Streptomyces	Intercept	0.4147128827524398	0.2814319716822833	1.473581271784647	0.14059436691197752	1.0	False
Streptomyces	condition[T.pre-drought]	-0.38105994593451614	0.3700629092317768	-1.02971666824316	0.30314302871030685	1.0	False
TA-21	Intercept	6.340926354108438	0.32431908155557304	19.551505645904776	4.005240478280631e-85	3.604716430452568e-83	True
TA-21	condition[T.pre-drought]	0.2571164105670096	0.40612655479032506	0.6330943089888659	0.526672058448995	1.0	False
TH1177	Intercept	5.161051121327463	0.3084460243315723	16.732428736962593	7.607196428096728e-63	6.770404821006089e-61	True
TH1177	condition[T.pre-drought]	-0.047243350507393644	0.3659963186678864	-0.12908149098150729	0.8972931675297486	1.0	False
TH5896	Intercept	3.677142908263434	0.39101506854090157	9.404095146473344	5.247979953086588e-21	4.250863762000136e-19	True
TH5896	condition[T.pre-drought]	-0.3546222518726518	0.4881988470769364	-0.7263889580975722	0.4676003583660904	1.0	False
VBDM01	Intercept	0.06411948625704333	0.24801142244373642	0.2585344079125606	0.7959944975997527	1.0	False
VBDM01	condition[T.pre-drought]	-0.27589569424182975	0.28254768421339826	-0.976457106735497	0.32883799388360235	1.0	False
VGTJ01	Intercept	2.767147730978812	0.29535391125651517	9.368921912043147	7.327714833375512e-21	5.862171866700409e-19	True
VGTJ01	condition[T.pre-drought]	0.11936919522921642	0.46449955589793707	0.256984519605106	0.7971907234216072	1.0	False
Z2-YC6860	Intercept	0.6972584870845431	0.3827311430170094	1.8217971017152252	0.06848577769254956	1.0	False
Z2-YC6860	condition[T.pre-drought]	0.39420825222724015	0.599924425676634	0.6570965197535111	0.5111188565578942	1.0	False
ZC4RG19	Intercept	1.7219399251458922	0.36357179037396414	4.736175827543529	2.177886574194623e-06	0.0001415626273226505	True
ZC4RG19	condition[T.pre-drought]	-0.4272383863194397	0.552137424425928	-0.7737899432621342	0.4390550206259537	1.0	False
