feature	pre	drought	log2FC	p	cliffs_delta	q_BH
GH49161	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL41337	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH36627	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH35946	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL34765	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL45389	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH35873	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE99894	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE99840	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA34688	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2139943	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2139947	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL67147	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2633502	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2631799	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA30133	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA33074	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL56822	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL58548	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2626199	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL55652	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH68858	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH68359	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH64170	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH61289	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL46886	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE94046	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE98392	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL46985	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE96051	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE40119	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH80859	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE67860	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL47724	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE70762	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE82125	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE28026	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE81493	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE78011	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE77274	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE76558	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH77271	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH78728	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH79350	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH79641	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE69496	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE70545	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH75966	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH77161	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE93840	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL33894	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE86630	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE92650	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE84798	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL47221	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE83964	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE82909	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT09513	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH98689	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH98297	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE11893	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE15578	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE06310	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH97517	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH95990	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH95106	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH82483	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH97568	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE07295	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE06414	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL48526	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL48380	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE28678	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL48570	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CE31810	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA2139131	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL20285	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT99972	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT99682	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL20660	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GH43557	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL94284	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA00116	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA77177	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA80914	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL50644	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA76834	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT62708	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT61421	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL50497	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA99111	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT34113	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT38379	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT50118	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
PL21962	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT54588	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT63107	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
GT51234	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA82552	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA81753	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
AA82538	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
CBM95	0.0118	0.01	-0.2147	0.938	-0.0088	0.9708
